TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
WRKY33,275,275/1447,3282/22994,1.813451887193589e-7,1.4466811551897958,6.854848133591767e-5,1.7583567102717413e-7,91
WRKY14,265,265/1447,3143/22994,1.8974005981471092e-7,1.4542861623277679,7.153200255014601e-5,1.819757606918583e-7,92
TCP20,168,168/1447,1819/22994,2.1804731755066534e-7,1.5828687822309708,8.198579139905017e-5,2.057270716383386e-7,93
WRKY60,240,240/1447,2799/22994,2.1916790698537672e-7,1.4753785373364372,8.218796511951626e-5,2.057270716383386e-7,94
ATHB-51,213,213/1447,2428/22994,2.2894844019466384e-7,1.50645836374141,8.562671663280428e-5,2.1264561008792308e-7,95
SRM1,184,184/1447,2041/22994,2.8653739316052576e-7,1.5446710902729677,1.0687844764887611e-4,2.633615745960715e-7,96
SPL15,123,123/1447,1243/22994,3.295501577916001e-7,1.6943005440544978,1.2259265869847525e-4,2.997727329820498e-7,97
ATHB34,241,241/1447,2831/22994,3.67070984558948e-7,1.4626162693315825,1.361833352713697e-4,3.285026982378592e-7,98
DPBF3,326,326/1447,4037/22994,3.6858002742287805e-7,1.3976910863825336,1.3637461014646488e-4,3.285026982378592e-7,99
WRKY42,243,243/1447,2860/22994,3.7867999013212773e-7,1.459881390141746,1.3973291635875512e-4,3.341294030577598e-7,100
bHLH74,271,271/1447,3254/22994,3.872861435865166e-7,1.4340752304665372,1.425213008398381e-4,3.3833967115886714e-7,101
ATHB-5,205,205/1447,2339/22994,4.306164264173904e-7,1.5014820089640555,1.5803622849518226e-4,3.689146266862093e-7,102
GBF3,338,338/1447,4217/22994,4.320763192254487e-7,1.3881797136930163,1.5813993283651424e-4,3.689146266862093e-7,103
SPL8,147,147/1447,1561/22994,4.410633802106934e-7,1.6099794713448912,1.6098813377690309e-4,3.689146266862093e-7,104
NAC055,82,82/1447,741/22994,4.413987791353519e-7,1.90408974601966,1.6098813377690309e-4,3.689146266862093e-7,105
SPL13,116,116/1447,1161/22994,4.460303186018858e-7,1.7098045711769554,1.6190900565248454e-4,3.689146266862093e-7,106
bZIP48,254,254/1447,3020/22994,4.4737047062814314e-7,1.4456098422418824,1.619481103673878e-4,3.689146266862093e-7,107
ABF4,304,304/1447,3731/22994,4.698724657225151e-7,1.4062543064787232,1.6962396012582795e-4,3.838827334334273e-7,108
MYB113,156,156/1447,1682/22994,4.812383153416754e-7,1.58532008152656,1.7324579352300315e-4,3.8956150729223586e-7,109
AP3,429,429/1447,5568/22994,6.127035250934033e-7,1.345490031703411,2.199605655085318e-4,4.914734158503236e-7,110
SOC1,453,453/1447,5926/22994,6.192470072454289e-7,1.338457034342379,2.2169042859386355e-4,4.922472235655238e-7,111
EDT1,151,151/1447,1625/22994,6.68677592464182e-7,1.586624211676181,2.3871790050971297e-4,5.26794321794261e-7,112
FLC,489,489/1447,6477/22994,7.69625306562215e-7,1.3263046793784639,2.739866091361485e-4,6.009567724327551e-7,113
MYC4,230,230/1447,2709/22994,8.811790661084456e-7,1.453639666018776,3.128185684684982e-4,6.820271409508093e-7,114
GBF6,249,249/1447,2977/22994,9.290609239011208e-7,1.4337921207542643,3.288875670609968e-4,7.128344684663331e-7,115
HAT5,180,180/1447,2024/22994,9.576558570063894e-7,1.517945915952416,3.3805251752325546e-4,7.284400535038458e-7,116
WRKY59,267,267/1447,3237/22994,1.0786001984550644e-6,1.4152735606153,3.796672698561827e-4,8.134239807353427e-7,117
bZIP16,350,350/1447,4432/22994,1.0894503547660852e-6,1.3650557963178611,3.823970745228959e-4,8.146438345708514e-7,118
RVE1,238,238/1447,2829/22994,1.102872852378679e-6,1.4401946520543625,3.8600549833253764e-4,8.177505084369839e-7,119
CDF2,327,327/1447,4099/22994,1.121554347244735e-6,1.3758173063542787,3.914224671884125e-4,8.246723141505404e-7,120
AREB3,362,362/1447,4619/22994,1.4034270828788047e-6,1.3550764274509293,4.88392624841824e-4,1.0234033176072954e-6,121
PIF7,333,333/1447,4198/22994,1.4689636485661804e-6,1.367521685456037,5.097303860524646e-4,1.0624134391751545e-6,122
bHLH18,241,241/1447,2885/22994,1.5964564106784678e-6,1.4286654360200564,5.523739180947498e-4,1.1452341540017704e-6,123
TSO1,278,278/1447,3414/22994,1.7901659368929503e-6,1.3961242721349802,6.176072482280678e-4,1.2702211816623052e-6,124
bZIP53,246,246/1447,2960/22994,1.7994800073549323e-6,1.4213252778552563,6.190211225300967e-4,1.2702211816623052e-6,125
BBM,990,990/1447,14428/22994,1.840044023848471e-6,1.307213623436765,6.311351001800256e-4,1.288546235188005e-6,126
GT-4,138,138/1447,1482/22994,1.879194026227327e-6,1.5846861436734507,6.426843569697458e-4,1.30220846395621e-6,127
TCP15,155,155/1447,1708/22994,1.8890704117124756e-6,1.54448897951103,6.441730103939542e-4,1.30220846395621e-6,128
UNE10,301,301/1447,3751/22994,2.113932851016099e-6,1.3777243333085196,7.187371693454737e-4,1.4459185027469897e-6,129
WRKY21,214,214/1447,2521/22994,2.3096395923145033e-6,1.4474348293161834,7.829678217946166e-4,1.5676286825664047e-6,130
RVE7,244,244/1447,2944/22994,2.4635537533338113e-6,1.4157757915242586,8.326811686268283e-4,1.6593312213743678e-6,131
WRKY31,241,241/1447,2902/22994,2.4841562226213987e-6,1.4182623829545569,8.371606470234114e-4,1.6605322343725927e-6,132
PIF1,321,321/1447,4054/22994,2.876574530224367e-6,1.3603901504187128,9.665290421553873e-4,1.908386464102853e-6,133
WRKY11,270,270/1447,3323/22994,3.134425345769501e-6,1.3895811080371803,0.0010500324908327828,2.063932405028205e-6,134
WRKY2,244,244/1447,2954/22994,3.175860370059878e-6,1.4098035131490954,0.0010607373635999992,2.0757257320652796e-6,135
WRKY22,259,259/1447,3170/22994,3.438667350964092e-6,1.395681017874492,0.0011450762278710426,2.2309693020960808e-6,136
WRKY29,257,257/1447,3142/22994,3.4769259122917686e-6,1.3969820971104643,0.0011543394028808672,2.239325405082719e-6,137
CAMTA1,153,153/1447,1700/22994,3.5299406083596292e-6,1.5285660754741481,0.0011684103413670372,2.256995273887231e-6,138
ABF1,325,325/1447,4122/22994,3.566419272368906e-6,1.3540720607113788,0.0011769183598817389,2.2639140535562246e-6,139
TGA1,172,172/1447,1958/22994,3.6298230462664494e-6,1.4925712393203667,0.001194211782221662,2.2877036005880984e-6,140
WRKY48,239,239/1447,2890/22994,3.757602219148758e-6,1.4102074719502113,0.0012324935278807926,2.3514406878277582e-6,141
SEP3,494,494/1447,6638/22994,3.8037730040542125e-6,1.2995520845669268,0.0012438337723257274,2.3635706321795023e-6,142
WRKY55,227,227/1447,2723/22994,3.962406516030016e-6,1.4201388026124449,0.0012917445242257852,2.437439345170026e-6,143
ZHD1,214,214/1447,2541/22994,3.977901011317482e-6,1.4335037932221248,0.0012928178286781818,2.437439345170026e-6,144
WRKY24,264,264/1447,3248/22994,4.045442762438112e-6,1.3882288573088581,0.0013107234550299481,2.461729875722989e-6,145
WRKY3,276,276/1447,3421/22994,4.174641782961993e-6,1.3790796932392155,0.0013484092958967239,2.522950312023767e-6,146
TGA10,162,162/1447,1827/22994,4.220394449142694e-6,1.5053817631569708,0.0013589670126239474,2.5332499694734055e-6,147
SPL14,122,122/1447,1295/22994,4.393693002718785e-6,1.599223804009998,0.00141037545387273,2.619451313226621e-6,148
WRKY57,245,245/1447,2984/22994,4.715063928257375e-6,1.3996013959822278,0.0015088204570423598,2.792181560357703e-6,149
At3g11280,211,211/1447,2507/22994,4.914437057598887e-6,1.4313194068387882,0.001567705421374045,2.8908453279993453e-6,150
ATHB23,166,166/1447,1887/22994,5.034093557810322e-6,1.4928027824935275,0.0016008417513836823,2.94162069992812e-6,151
AGL3,188,188/1447,2189/22994,5.103864051897487e-6,1.458589940729495,0.0016179249044515035,2.9627693799714513e-6,152
BPC1,822,822/1447,11771/22994,5.538119346264785e-6,1.2730209710136389,0.001750045713419672,3.193840453439899e-6,153
TCP14,213,213/1447,2540/22994,5.617355143868101e-6,1.4256494626846727,0.001769466870318452,3.2184998914446723e-6,154
WRKY27,261,261/1447,3220/22994,5.754534286948749e-6,1.382407742055583,0.0018069237661019072,3.275825969800047e-6,155
SVP,483,483/1447,6499/22994,6.217650794722476e-6,1.2934999853505715,0.001946124698748135,3.480273144326424e-6,156
OBP4,396,396/1447,5194/22994,6.222510953128321e-6,1.3152717888689052,0.001946124698748135,3.480273144326424e-6,157
BHLH3,195,195/1447,2293/22994,6.2320091104405164e-6,1.4438190856475115,0.001946124698748135,3.480273144326424e-6,158
AT3G10580,187,187/1447,2185/22994,6.735485148139457e-6,1.4520799962169217,0.0020880003959232317,3.737783101076281e-6,159
WRKY6,250,250/1447,3070/22994,6.779578909718161e-6,1.386939227550868,0.002094889883102912,3.738738369329868e-6,160
ARR18,139,139/1447,1535/22994,7.463296985642089e-6,1.5339296412159324,0.0022986954715777633,4.090224873388065e-6,161
SEP1,182,182/1447,2121/22994,7.765956596416365e-6,1.45487821578316,0.002384148675099824,4.229823854257279e-6,162
WRKY15,222,222/1447,2681/22994,8.18879748184065e-6,1.406729516007754,0.002505772029443239,4.432766590675199e-6,163
BPC6,676,676/1447,9490/22994,8.601141882812278e-6,1.2666044440919983,0.0026233482742577447,4.627587096204597e-6,164
GBF2,307,307/1447,3902/22994,8.75373326980189e-6,1.3447485728475992,0.0026611349140197747,4.681140785990316e-6,165
PHL1,156,156/1447,1770/22994,8.997356227766908e-6,1.4923015454078306,0.002726198937013373,4.782435982158172e-6,166
