TF_id,mean_value,pvalue,TFPeak_number,rank
GSE30711.FHY3.No-0_seedling_4d-far-red,0.03027730478692578,1.2818552100381589e-14,1368,157
GSE60141.BMY2.Col-0_leaves_tnt_col,0.04291853480004151,2.282406450322697e-13,1624,158
GSE60141.AtbZIP48.Col-0_leaves_tnt_colamp,0.07871350106650005,2.8249318399189543e-13,4355,159
GSE54881.SVP.Col-0_seedling_2w-flc-3,0.05388476420709229,2.995435695451176e-13,2312,160
GSE60141.SPL1.Col-0_leaves_tnt_colamp,0.08367008381994306,4.507857219371571e-13,6111,161
GSE45846.SOC1.Col-0_whole-plant_18d,0.04621883984523056,7.061798723942736e-13,1537,162
GSE60141.ERF011.Col-0_leaves_tnt_col,0.0411870956164192,1.87906822939993e-12,3398,163
GSE60141.GBF3.Col-0_leaves_tnt_col,0.048745095429130164,3.7301534786177384e-12,2014,164
GSE60141.BHLH122.Col-0_leaves_tnt_col,0.035590088428731514,4.133079368064262e-12,850,165
GSE60141.BEH2.Col-0_leaves_tnt_col,0.0503406649175976,4.3678173183368125e-12,2472,166
GSE60141.TGA10.Col-0_leaves_tnt_colamp,0.05712946709006533,6.326313204105242e-12,6140,167
GSE60141.TGA4.Col-0_leaves_tnt_colamp,0.06566146614478757,6.894423083871774e-12,6484,168
GSE35952.APRR1.C24_seedling_2w,0.02463356861339141,1.4672904130610377e-11,487,169
GSE60141.ERF118.Col-0_leaves_tnt_col,0.040603773136287324,1.5410028781665712e-11,2586,170
GSE60141.MYB73.Col-0_leaves_tnt_col,0.027236181420484562,1.9556823448668868e-11,2942,171
GSE48793.ERF115.Ler_cell_suspension_2d,0.02951948747727859,4.620629590215117e-11,1354,172
GSE60141.ATMYB119.Col-0_leaves_tnt_colamp,0.0927148425147819,4.998264490714717e-11,10220,173
GSE60141.BEH4.Col-0_leaves_tnt_col,0.027035593487479026,5.037660582587475e-11,1633,174
GSE60141.MYB3R4.Col-0_leaves_tnt_col,0.020950786628088018,5.6183869142427865e-11,1741,175
GSE40329.RPS4.Col-0_leaves_3-5w,0.050989493379647595,1.3972778468692284e-10,2344,176
GSE60141.GBF3.Col-0_leaves_tnt_colamp,0.08319187129263284,1.698243380306054e-10,4682,177
GSE60141.SPL1.Col-0_leaves_tnt_col,0.048620118529119974,2.17971297868242e-10,3007,178
GSE60141.DPBF3.Col-0_leaves_tnt_col,0.04942110724627319,2.2260585368100955e-10,2258,179
GSE60141.ERF037.Col-0_leaves_tnt_col,0.024015026819732693,3.809156263225124e-10,2734,180
GSE40329.RPS4.Col-0_leaves_3-5w-eds1,0.05360229527174709,3.8370894681116977e-10,2679,181
GSE60141.LHY.Col-0_leaves_tnt_col,0.046165786122531735,4.2928433748286193e-10,3228,182
GSE79354.HSFA1A.Col-0_seedling_12d-15min-27c,0.035030731107139744,4.667385905349719e-10,1371,183
GSE60141.ZHD14.Col-0_leaves_tnt_col,0.030698932321240324,8.497111432259735e-10,812,184
GSE60141.SPL14.Col-0_leaves_tnt_col,0.03999167991911566,8.596911372927657e-10,2391,185
GSE60141.ERF087.Col-0_leaves_tnt_colamp,0.0662588634070925,1.0859778981536466e-9,5632,186
GSE60141.ERF027.Col-0_leaves_tnt_col,0.037557675750818365,1.3351055334981804e-9,4011,187
GSE60141.BEH3.Col-0_leaves_tnt_col,0.022159421536250872,2.0806211653912125e-9,772,188
GSE60141.WRKY22.Col-0_leaves_tnt_col,0.03786807507775459,2.135174631280618e-9,2260,189
GSE60141.BHLH28.Col-0_leaves_tnt_col,0.040140742338005436,2.192433742985987e-9,3236,190
GSE60141.LBD18.Col-0_leaves_tnt_col,0.016975091337876037,3.5006578474481217e-9,1714,191
GSE60141.DREB1A.Col-0_leaves_tnt_col,0.02466082584058775,4.510567756997375e-9,3378,192
GSE60141.TGA5.Col-0_leaves_tnt_col,0.037592724388327836,5.762914280873823e-9,2551,193
GSE84483.AZF1.Col_whole-plant_30h,0.06309466941356835,5.960566332750827e-9,4493,194
GSE60141.VRN1.Col-0_leaves_tnt_col,0.028019275928138618,9.418055384546481e-9,3578,195
GSE60141.WRKY30.Col-0_leaves_tnt_colamp,0.027530661870180523,1.0513988233974457e-8,2310,196
GSE60141.WRKY28.Col-0_leaves_tnt_col,0.02086249863734696,1.3351865359948727e-8,2101,197
GSE60141.DREB1C.Col-0_leaves_tnt_colamp,0.05743392890183224,1.4016504938493636e-8,12005,198
GSE60141.BIM1.Col-0_leaves_tnt_colamp,0.007965632976792607,1.4799279683582603e-8,532,199
GSE60141.DREB1B.Col-0_leaves_tnt_col,0.029382041406943366,1.8073208422189682e-8,3704,200
GSE60141.ZHD5.Col-0_leaves_tnt_col,0.024046789868379922,1.9537557922171824e-8,1880,201
GSE60141.WRKY15.Col-0_leaves_tnt_col,0.026224745356068953,1.9902657134574728e-8,1363,202
GSE60141.WRKY70.Col-0_leaves_tnt_col,0.029371447931325366,2.290084431869641e-8,1721,203
GSE46986.AP1.Ler_inflorescence_4w-2d,0.04878624794944438,2.3507217512304905e-8,2172,204
GSE60141.LBD19.Col-0_leaves_tnt_col,0.018914384734642332,2.4005192524097554e-8,2050,205
GSE60141.DREB1E.Col-0_leaves_tnt_col,0.03494799382522801,2.590007328551264e-8,6043,206
