TF_id,WT_E5_0h_R1,WT_E5_0h_R2,WT_E5_4h_R1,WT_E5_4h_R2,WT_E5_8h_R1,WT_E5_8h_R2,WT_E5_16h_R1,WT_E5_16h_R2,WT_E5_24h_R1,WT_E5_24h_R2,WT_E5_48h_R1,WT_E5_48h_R2,WT_E5_48h_R3,WT_E5_72h_R1,WT_E5_72h_R2,WT_E5_72h_R3
WRKY71,-0.18040120698026224,-0.3928308136497293,-0.06163349704763414,0.5054428012011756,1.1929065265336705,1.1713627674492542,-0.26276068117597023,-0.11541062447747162,-0.5990413673436641,-0.4336674943479459,-0.3469452131673661,-0.5361131652220903,-0.5672964029137779,-0.691396760526385,-0.3469452131673661,0.3073893828206459
WRKY50,-0.6778556096439299,-0.3640616602004256,0.9631543195066732,0.664437628128644,1.4042097133553209,1.5127550899607387,0.8272071528766827,0.8971139424431069,0.3299298191830141,0.8577588417227449,-1.5652625195919887,-1.3760588349369347,-1.4641154989915917,-0.7050658929000242,-0.5176523427716081,-1.5652625195919887
WRKY27,0.5926449301635264,0.12620121506710114,-0.2241384526491305,0.3526391619229504,1.7081590334395331,1.5472836116060342,1.2611218282804824,1.160792003464767,0.664437628128644,1.1400307167488717,-1.1820660672895331,-1.4799413890351922,-1.496146876216362,-1.5652625195919887,-1.4799413890351922,-1.322813412009698
SPL3,1.0709586242267901,0.18040120698026213,0.21316716115049078,0.45138873387405687,1.866540294772766,1.5297913795462077,1.2975429286165538,0.24616364666135948,-1.3760588349369347,-1.1503493803760079,-0.6511382223610432,-1.3489580918851947,-1.9315197977783913,-1.160792003464767,-1.0521406099073667,-0.7050658929000242
SPL15,-1.4335196000876227,-0.38705167999770673,-0.8891329656800708,-1.602820185481948,-1.1820660672895331,-1.7081590334395325,1.4187123129661312,0.29617817270122565,1.7817725841185594,1.362383389418019,0.5990413673436641,0.8122178014999129,1.362383389418019,1.866540294772766,0.5054428012011756,1.2852127518908265
SPL13,0.00803415141280527,-0.4573271785409198,-1.3489580918851947,-1.3489580918851947,-2.093273057357247,-1.663792785885074,0.00803415141280527,-0.22963414956312947,-0.7468929114901232,-0.6054624085057514,1.808602238312397,1.7817725841185594,1.583762116539097,1.808602238312397,1.5472836116060342,1.7817725841185594
SPL9,1.0155807829346575,1.1929065265336705,-1.7561674016602142,-0.9462578347633596,-1.8980286526220012,-1.322813412009698,-2.2651370034494627,-2.1437704762116443,-0.10463345561407539,0.7188680528227157,0.5115380398553485,1.836800742786681,2.143770476211643,1.160792003464767,1.836800742786681,1.4187123129661312
GATA19,-0.35834456671086434,-0.6314018942397609,-0.5237860596104458,-0.39862309718566696,0.9717065019881965,1.5652625195919883,2.143770476211643,2.0932730573572456,1.0245923925400986,1.5297913795462077,-0.5299395463003204,-0.8655223818729181,-1.5652625195919887,-1.5127550899607387,-1.322813412009698,-1.9673289538075787
GATA20,0.29617817270122565,-0.6711315147657183,-1.1820660672895331,-1.5127550899607387,0.9379101272115916,1.160792003464767,1.3899965844475834,1.464115498991592,-0.469252883812802,0.631401894239761,1.1298320308408791,-0.15866651137713356,-0.26276068117597023,-0.5990413673436641,-0.6846104934522019,-1.2038890137412936
GATA14,-1.3899965844475837,-0.554758540026558,0.8347718934067763,1.0066509019659706,0.38705167999770673,1.03368798614595,0.4933081483127475,-2.093273057357247,0.6119085104632844,1.6855612305545902,-1.0155807829346575,0.09924950325268869,-1.1713627674492542,1.1503493803760079,1.0709586242267901,-1.7561674016602142
ZHD5,0.21864951704140353,1.4042097133553209,-0.07236970645650206,-0.21864951704140353,0.3526391619229504,-0.06163349704763414,-0.21864951704140353,-1.2038890137412936,-1.2975429286165538,-0.664437628128644,-1.03368798614595,-0.7188680528227157,-0.6119085104632846,1.3899965844475834,1.4042097133553209,0.4993662832382226
ATHB34,-1.4187123129661308,-1.1503493803760079,1.808602238312397,1.8980286526220012,0.08849006607869864,-0.0026780248619778808,1.0066509019659706,-0.39862309718566696,-1.261121828280482,-1.602820185481948,-0.5237860596104458,-0.8347718934067764,-0.6577733822383669,1.4486480419347214,0.517652342771608,-0.38128544450891133
