TF_id,WT_E5_0h,WT_E5_4h,WT_E5_8h,WT_E5_16h,WT_E5_24h,WT_E5_48h,WT_E5_72h
ARF8,-1.3206389691233642,-1.2771278208814583,-0.8976079793910016,-1.7438827020590122,1.2243678891172682,2.255326357482844,1.6159334756677868
ARR1,0.12150062934617217,0.8562708702743144,-1.7620769715858489,-1.9131916766193526,-0.5872932134174881,1.3987658659148057,1.0296122649204906
ARR11,-1.7897043462994298,2.016786221919002,1.5613602884439501,-1.5847885978700471,-0.8709314085672134,-0.9275744416038413,0.8980857631815454
ARR14,-4.098785772261816,-1.6164300396120348,1.5490638513650592,2.8957569400266867,1.9764175822635706,2.2741502073885633,-0.6692833299101283
ARR18,-0.8435033324772402,3.081861309188097,1.1100170392467912,0.6425825421843805,-1.1806817302774324,-2.557528419984035,-0.7335791749802711
ARR2,1.4472743390471563,0.1333801751848305,-1.3891847571812195,0.6178496336548693,0.6004411064249398,0.30041473127940443,-1.0237169782748508
ATHB-12,0.6738381626848472,-0.5541687234059369,-2.9637531110501114,-2.06360757970516,2.6099693752222057,2.043318583926955,1.1997958118564453
ATHB-16,-2.041461492036695,2.240172764117601,1.0636256661604087,-0.8054081208752831,-0.5293324030110189,-1.1891765230971447,0.6312171268607245
ATHB-51,-0.12991757242607874,0.10862571956570213,0.7201932809098159,-1.476583246020293,-0.2525650474804863,-0.5674405592087924,1.3450694481069005
ATHB-6,-2.75904248091227,0.789838591624548,-0.6139789694065471,-0.7295495121343254,2.641792241313793,1.5497126129707852,0.5895411773241537
BEE2,0.9586543675503595,-0.8477994289405278,-1.0969632665057745,-1.1551008867742356,0.534273611525524,1.118777960234363,0.5428818742882578
BHLH3,0.9778731722975192,0.8426494620144238,0.2898607037239033,-0.7374805955141277,-0.5761806595184726,-0.41397999958516457,-0.6267203131398946
BHLH13,0.8425341117745617,0.13193567526312452,0.3258611571748528,-0.07222349562050795,-0.03409335564519911,-0.31385398062422926,-0.8169195565604551
AIB,1.6919824025658978,-0.6943670824566252,-1.6978712472535928,-1.5342029847802898,-1.5179331296417793,1.132469838358775,1.756531324413325
BHLH104,-0.42332456151834,-0.8771817338811065,0.04259989847655327,0.14065349432733176,-0.27060340807196626,1.4119061022835482,0.23809788121548994
BHLH34,-0.03485256532861938,0.18244338868806223,0.9694487485678546,-0.10998914614163832,-0.7772352098929592,-0.3444868041631865,-0.6394927871863796
BHLH78,1.5280738226424877,-0.7055233621169514,-0.302353984379539,1.1968232608415275,-1.8250225188203062,-1.288608854902973,1.346631080753224
BIM1,1.4124754364838434,-1.0557929688794299,-1.0332251479478196,-0.6298271611371361,0.3176699107399905,1.0135064999850603,0.1773203805151937
