TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
GSE60011.AT1G14580.Col-0_roots,0.13337940566689702,0.103,0.004744881049198337,1,0.006219881525166358,178
GSE60141.BZR1.Col-0_leaves_tnt_col,0.014512785072563926,0.006666666666666667,0.005165802571824909,1,0.0067338208571274425,179
GSE60141.BPE.Col-0_leaves_tnt_col,0.010366275051831375,0.004,0.005232159300796226,1,0.006782428723254367,180
GSE60141.AT5G58900.Col-0_leaves_tnt_colamp,0.26123013130615064,0.22066666666666668,0.00570272433046517,1,0.007351578326566517,181
GSE60141.LHY.Col-0_leaves_tnt_col,0.0608154803040774,0.043333333333333335,0.005937663065670956,1,0.007612388545731994,182
GSE95301.AGO1.Col-0_seedling_10d-wt_MeJAcontrol,0.4132688320663442,0.349,0.006361003039917656,1,0.008074495437255304,183
GSE60141.WRKY22.Col-0_leaves_tnt_col,0.04906703524533518,0.03266666666666666,0.0063673164019498974,1,0.008074495437255304,184
GSE60141.BZIP28.Col-0_leaves_tnt_col,0.0359364201796821,0.023,0.006495950302335169,1,0.008193090471413726,185
GSE48793.ERF115.Ler_cell_suspension_2d,0.0608154803040774,0.042666666666666665,0.006592725947892782,1,0.008270444737499907,186
GSE60141.ATHB-23.Col-0_leaves_tnt_col,0.0221147201105736,0.012333333333333333,0.006711674052777989,1,0.008374637855516207,187
GSE60141.WRKY8.Col-0_leaves_tnt_col,0.019350380096751902,0.010333333333333333,0.006909818383459549,1,0.008576015724151922,188
GSE95301.AGO1.Col-0_seedling_10d-wt_Flg22,0.6510020732550104,0.57,0.007839816525019241,1,0.009678785833357087,189
GSE60141.TGA6.Col-0_leaves_tnt_col,0.07049067035245335,0.05266666666666667,0.008622144226941096,1,0.010588598173436435,190
GSE60141.AtbZIP48.Col-0_leaves_tnt_colamp,0.1375259156876296,0.10833333333333334,0.009079702658726893,1,0.011092132392860077,191
GSE60141.WRKY29.Col-0_leaves_tnt_col,0.0165860400829302,0.008666666666666666,0.009478903119034538,1,0.011499356275399303,192
GSE60141.TGA10.Col-0_leaves_tnt_colamp,0.11402902557014513,0.09033333333333333,0.009511610404937424,1,0.011499356275399303,193
GSE95301.AGO1.Col-0_seedling_10d-wt_Cold,0.7442985487214927,0.6606666666666666,0.009978480192158978,1,0.012001608478541724,194
GSE60141.DREB1A.Col-0_leaves_tnt_col,0.07671043538355218,0.058,0.010138682170159823,1,0.012131756442926285,195
GSE60141.GT-4.Col-0_leaves_tnt_colamp,0.021423635107118175,0.012,0.01196663224888777,1,0.01424599077248544,196
GSE60141.RAP2-10.Col-0_leaves_tnt_col,0.06496199032480995,0.047,0.012078666113856617,1,0.014306372723688038,197
GSE117797.HY5.Ws_whole-plant_10d-red-light,0.4388389771941949,0.379,0.012531490319899563,1,0.014767749535235174,198
GSE60141.TCP21.Col-0_leaves_tnt_col,0.04561161022805805,0.03166666666666667,0.012978408258368707,1,0.015217564122040358,199
GSE97499.GATA22.Col-0_whole-rosette-leaves_3w,0.03731859018659295,0.025,0.01478784361541015,1,0.01725248421797851,200
GSE60141.DREB1E.Col-0_leaves_tnt_col,0.10711817553559087,0.08466666666666667,0.015854723424460322,1,0.018405151570683627,201
GSE45846.SOC1.Col-0_whole-plant_18d,0.0801658604008293,0.062,0.01734513733142772,1,0.020035637181517164,202
GSE60141.WRKY3.Col-0_leaves_tnt_col,0.03178991015894955,0.021333333333333333,0.017726692599079566,1,0.02037550873457421,203
GSE60141.TCP22.Col-0_leaves_tnt_col,0.04008293020041465,0.027666666666666666,0.017816426948201566,1,0.02037826611722401,204
GSE60141.ENY.Col-0_leaves_tnt_col,0.006910850034554251,0.0026666666666666666,0.01839228237283467,1,0.020934305139811815,205
GSE89889.FLC.Col-FRI_aerial-part_2w,0.04561161022805805,0.032,0.019130497372000285,1,0.02159394565895016,206
