TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
GSE80564.MYB3.Col-0_seedling_3d-ABA,980,980/1447,12551/22994,5.1000920278762794e-26,1.8091810742444296,2.2950414125443256e-23,2.367450126520347e-25,54
GSE80564.NAC032.Col-0_seedling_3d-EtOH,254,254/1447,2086/22994,5.728489913452613e-26,2.291065753069146,2.5720919711402232e-23,2.6108026757068877e-25,55
GSE51770.ARF.Col-0_seedling-etiolated_5d,256,256/1447,2116/22994,9.168315801634532e-26,2.274945995184744,4.10740547913227e-23,4.103912787398314e-25,56
GSE80564.ATHB-5.Col-0_seedling_3d-ABA,1054,1054/1447,13840/22994,1.817304786598685e-25,1.8376114780830954,8.123352396096122e-23,7.9918900556854445e-25,57
GSE94486.ARR1.Col-0_seedling_3d-6BA-72h,1162,1162/1447,15753/22994,2.036566907594913e-25,1.9436781039763755,9.083088407873311e-23,8.801714451214795e-25,58
GSE60142.ABI5.Col-0_seedling_36h-ypet,608,608/1447,6814/22994,2.949921870497709e-25,1.7912248571621325,1.3127152323714805e-22,1.2533001393301001e-24,59
GSE108960.EZA1.Col-0_seedling_10d,156,156/1447,1031/22994,3.4190203389752286e-25,2.8545833741738753,1.5180450305050015e-22,1.4283907193940954e-24,60
GSE64245.LFY.Col-0_seedling_15d-LFY,590,590/1447,6601/22994,1.991567672571575e-24,1.779233767008673,8.822644789492077e-22,8.183928359419806e-24,61
GSE80564.ABF3.Col-0_seedling_3d-EtOH,1069,1069/1447,14186/22994,3.865196218098517e-24,1.8174680849401992,1.7084167283995445e-21,1.562702987102196e-23,62
GSE80564.ATHB-7.Col-0_seedling_3d-EtOH,871,871/1447,10904/22994,5.383813946186138e-24,1.7353013244669726,2.3742619502680867e-21,2.1421312632444313e-23,63
GSE54881.SVP.Col-0_seedling_2w-FLC,451,451/1447,4690/22994,1.0591286606162095e-23,1.8487053577592651,4.660166106711322e-21,4.1482539207468206e-23,64
GSE24568.LFY.Col-0_seedling_15d,400,400/1447,4038/22994,5.2611210982998185e-23,1.8807558470081858,2.3096321621536202e-20,2.0289041363699813e-22,65
GSE80564.ANAC102.Col-0_seedling_3d-ABA,826,826/1447,10303/22994,2.647873014166758e-22,1.6939732115675852,1.15976838020504e-19,1.005656821542122e-21,66
GSE80564.ABF3.Col-0_seedling_3d-ABA,1154,1154/1447,15829/22994,5.1220833899993125e-22,1.8443046605028497,2.2383504414296993e-19,1.9163217459101903e-21,67
GSE80564.ZAT6.Col-0_seedling_3d-EtOH,1064,1064/1447,14245/22994,5.358020002151695e-22,1.7631977863936,2.3360967209381393e-19,1.975113255695135e-21,68
