TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
RAV1,2.006082593508675,1.5567221751575686,0.001090000620110734,0.2855801624690123,5.686719361178138e-4,207
MYB57,1.2909833019167338,0.9064270406193272,0.0010952200251157893,0.285852426555221,5.686719361178138e-4,208
AGL13,4.679155095503009,3.674128203448551,0.0011468624083610858,0.2981842261738823,5.926370339856329e-4,209
ATHB23,3.229253761610914,2.507913606188901,0.0011614951989332393,0.30082725652370895,5.973403880228089e-4,210
DOF5.6,3.5293822771711345,2.8615329634027877,0.0011788613654500797,0.3041462322861206,6.03398234448382e-4,211
WRKY50,4.080099863738796,3.0957484592071416,0.0012070329916858667,0.3102074788632677,6.14903599538083e-4,212
TGA4,2.0286409659304585,1.6159915346555953,0.0012194432426861745,0.31217747012766067,6.183092498127082e-4,213
TSO1,5.5582011224955945,4.496800722908308,0.0012648209104597862,0.3225293321672455,6.36681158917725e-4,214
WRKY65,2.9314104226288964,2.156120359342567,0.001267467121919545,0.3225293321672455,6.36681158917725e-4,215
WRKY71,3.7734849863342133,2.8717000294336943,0.0012974348057151754,0.32825100584593936,6.487174028575878e-4,216
AGL3,2.9494238874446457,2.323346310251648,0.0015390106852357088,0.3878306926793986,7.650925264315408e-4,217
SOL1,5.6774910851933775,4.589927765679949,0.001550107435126146,0.38907696621666266,7.650925264315408e-4,218
SEP3,6.734110921021565,5.8005144492596274,0.0015514376230417355,0.38907696621666266,7.650925264315408e-4,219
KAN2,2.8609616416297365,2.1553568990079586,0.0015986485536109252,0.3980634898491204,7.847911081362724e-4,220
SPL12,0.6503369630215747,0.44274707371480293,0.0016216805549590322,0.40217677762984,7.924954748216085e-4,221
EPR1,3.104210221505422,2.528649393529292,0.0016490839462134574,0.407323734714724,8.02257054914655e-4,222
WRKY8,2.3860443425662865,1.8645937258457421,0.0017889671434295348,0.44008591728366553,8.664056120645281e-4,223
ARR11,0.8140833302552821,0.49676728909783435,0.0018267464206118442,0.4475528730499018,8.807527385092821e-4,224
BEE2,1.8445549229476472,1.386835876660717,0.0019192617769553722,0.46829987357711084,9.212456529385788e-4,225
TCP23,2.036202417378853,1.5512331221467504,0.00195335299942632,0.47466477886059577,9.334607253895689e-4,226
WRKY75,1.7028181510470888,1.2640873980123628,0.002287143613961426,0.5534887545786651,0.0010881564330741588,227
BIM1,1.7467034285833827,1.405674298502802,0.0023728174100727433,0.5718489958275311,0.0011236934233932333,228
WRKY40,2.8492976583000496,2.1279710541043406,0.002382646240343059,0.5718489958275311,0.0011236934233932333,229
ABF3,2.0974046974703318,1.3960745147302023,0.0024534599025971488,0.5863769167207186,0.0011520594325238785,230
WRKY38,1.686637635849935,1.2179431694839966,0.002472557928390509,0.588468786956941,0.0011560011093773809,231
WRKY63,1.3529166082625133,1.0234999421326025,0.0025123512062603572,0.5954272358837046,0.0011695428029143042,232
AT5G47660,2.4431221477205063,1.8499536626580886,0.0025866731280872364,0.6104548582285878,0.0011989729520747706,233
At3g11280,3.0750221375861178,2.2488799779952857,0.0026954789360956358,0.6334375499824744,0.0012440672012749088,234
AGL16,3.308224077434606,2.654574083718588,0.0027336267702479248,0.6396686642380144,0.0012563050688798975,235
ARR1,2.02568052301939,1.5250635370253944,0.0028902878568894783,0.6734370706552485,0.0013226741040002698,236
WRKY15,2.7378320838337973,2.1471629082708032,0.003070724454980279,0.7124080735554248,0.0013993174731555702,237
EFM,1.7092122006183499,1.1633701203697109,0.003106875155788704,0.7176881609871906,0.0014098425076688236,238
AT1G13300,2.161051704432931,1.6943731080748323,0.0033470605646698207,0.7698239298740588,0.001512479250980505,239
ATHB15,2.995235205042442,2.2936320993196953,0.003420697070169332,0.7833396290687771,0.0015393136815761994,240
LHY1,2.7465103165052405,2.1583639559729764,0.0037936299831769996,0.8649476361643559,0.0017000499509672862,241
MYB46,0.8966235128904085,0.6103189354088425,0.0039037648355715773,0.886154617674748,0.0017365850646878847,242
NAC083,0.9594353799581132,0.5612578868472434,0.0039073163955477405,0.886154617674748,0.0017365850646878847,243
TGA5,1.8923848572611586,1.5000610900983888,0.003933693065487968,0.886154617674748,0.001741142832265166,244
NAC025,0.4191807290396451,0.2343506080374143,0.00426306680772582,0.9549269649305836,0.0018792294499362797,245
TGA2,1.3933852479431796,1.087976735850418,0.004390450068139427,0.9790703651950923,0.001927514664061212,246
AGL25,4.7856969605919915,3.883238616366366,0.004506460554838981,1,0.0019704361940186634,247
ARR2,1.6145016116401307,1.184166794466783,0.004832920122613374,1,0.0021046587630735663,248
AT3G10580,2.6177763639863696,2.00358260224442,0.004951141366548328,1,0.002147483002358311,249
WRKY25,1.532924156107274,1.1713672709083167,0.005410924506838378,1,0.0023375193869541793,250
HAT1,1.2437587810653354,0.901304993969178,0.0056950495901409905,1,0.0024504595846024982,251
ARR10,2.568094304401524,2.1660764249852384,0.006138123386878564,1,0.002630624308662242,252
DREB2,1.8182942083142128,1.5080065435550294,0.006375274071473029,1,0.00272146086845489,253
AT2G20110,5.804898055254703,4.722345468049398,0.006616693277520089,1,0.0028133971416227158,254
HHO5,2.290278273237458,1.8924758362472944,0.006738400654366763,1,0.002845994141730274,255
AT5G56840,2.2695756176372255,1.7298039294362408,0.006746060187805093,1,0.002845994141730274,256
